name,combo
John,6-5-2
William,1-6-7
James,6-6-3
Charles,6-6-3
George,7-5-3
Frank,1-4-5
Joseph,2-8-1
Thomas,7-6-4
Henry,5-2-7
Robert,2-4-6
Edward,6-4-1
Harry,1-6-7
Walter,6-1-7
Arthur,4-1-5
Fred,5-1-6
Albert,6-7-4
Samuel,9-8-8
David,1-3-4
Louis,9-4-4
Joe,2-1-3
Charlie,6-5-2
Clarence,2-5-7
Richard,1-6-7
Andrew,6-5-2
Daniel,6-3-9
Ernest,1-8-9
Will,9-2-2
Jesse,1-3-4
Oscar,7-4-2
Lewis,5-9-5
Peter,1-9-1
Benjamin,6-8-5
Frederick,1-6-7
Willie,5-2-7
Alfred,6-4-1
Sam,1-5-6
Roy,6-7-4
Herbert,1-3-4
Jacob,7-6-4
Tom,6-6-3
Elmer,1-7-8
Carl,1-6-7
Lee,1-3-4
Howard,7-8-6
Martin,1-2-3
Michael,6-9-6
Bert,5-4-9
Herman,6-8-5
Jim,9-5-5
Francis,1-6-7
Harvey,6-1-7
Earl,6-3-9
Eugene,9-3-3
Ralph,1-9-1
Ed,5-4-9
Claude,9-1-1
Edwin,5-5-1
Ben,5-7-3
Charley,6-3-9
Paul,4-1-5
Edgar,6-2-8
Isaac,2-4-6
Otto,3-4-7
Luther,8-4-3
Lawrence,2-7-9
Ira,1-9-1
Patrick,1-5-6
Guy,3-5-8
Oliver,2-7-9
Theodore,4-5-9
Hugh,3-5-8
Clyde,5-8-4
Alexander,3-9-3
August,7-1-8
Floyd,6-2-8
Homer,2-3-5
Jack,1-6-7
Leonard,3-3-6
Horace,3-2-5
Marion,7-9-7
Philip,9-7-7
Allen,6-2-8
Archie,6-2-8
Stephen,1-5-6
Chester,1-5-6
Willis,9-3-3
Raymond,7-4-2
Rufus,6-7-4
Warren,6-1-7
Jessie,1-3-4
Milton,6-5-2
Alex,6-9-6
Leo,2-3-5
Julius,6-5-2
Ray,1-7-8
Sidney,5-8-4
Bernard,6-2-8
Dan,1-9-1
Jerry,5-8-4
Calvin,1-6-7
Perry,5-5-1
Dave,6-8-5
Anthony,7-2-9
Eddie,1-8-9
Amos,7-5-3
Dennis,5-6-2
Clifford,6-4-1
Leroy,2-1-3
Wesley,1-7-8
Alonzo,4-7-2
Garfield,6-2-8
Franklin,1-3-4
Emil,5-7-3
Leon,2-8-1
Nathan,2-2-4
Harold,7-6-4
Matthew,6-3-9
Levi,5-7-3
Moses,2-6-8
Everett,6-8-5
Lester,1-6-7
Winfield,5-5-1
Adam,2-8-1
Lloyd,6-8-5
Mack,1-9-1
Fredrick,5-6-2
Jay,1-8-9
Jess,5-3-8
Melvin,5-7-3
Noah,7-4-2
Aaron,8-5-4
Alvin,1-3-4
Norman,7-5-3
Gilbert,5-5-1
Elijah,6-3-9
Victor,6-9-6
Gus,3-8-2
Nelson,2-5-7
Jasper,6-9-6
Silas,1-5-6
Christopher,2-2-4
Jake,6-3-9
Mike,5-6-2
Percy,5-8-4
Adolph,7-4-2
Maurice,9-7-7
Cornelius,5-3-8
Felix,5-6-2
Reuben,4-7-2
Wallace,7-5-3
Claud,4-1-5
Roscoe,8-4-3
Sylvester,1-9-1
