name,combo
SMITH,9-6-6
JOHNSON,3-2-5
WILLIAMS,1-7-8
BROWN,6-3-9
JONES,2-7-9
MILLER,5-1-6
DAVIS,1-9-1
GARCIA,2-1-3
RODRIGUEZ,5-1-6
WILSON,6-5-2
MARTINEZ,6-1-7
ANDERSON,3-6-9
TAYLOR,7-5-3
THOMAS,7-6-4
HERNANDEZ,2-3-5
MOORE,8-4-3
MARTIN,1-2-3
JACKSON,7-3-1
THOMPSON,3-9-3
WHITE,5-6-2
LOPEZ,2-9-2
LEE,1-3-4
GONZALEZ,3-4-7
HARRIS,1-9-1
CLARK,1-8-9
LEWIS,5-9-5
ROBINSON,3-4-7
WALKER,6-1-7
PEREZ,1-6-7
HALL,1-5-6
YOUNG,9-1-1
ALLEN,6-2-8
SANCHEZ,6-7-4
WRIGHT,9-4-4
KING,9-5-5
SCOTT,6-8-5
GREEN,1-3-4
BAKER,6-4-1
ADAMS,2-9-2
NELSON,2-5-7
HILL,9-5-5
RAMIREZ,6-3-9
CAMPBELL,6-4-1
MITCHELL,5-5-1
ROBERTS,2-5-7
CARTER,6-5-2
PHILLIPS,9-2-2
EVANS,6-1-7
TURNER,8-7-6
TORRES,2-3-5
PARKER,6-9-6
COLLINS,6-6-3
EDWARDS,6-5-2
STEWART,6-1-7
FLORES,2-1-3
MORRIS,6-5-2
NGUYEN,8-6-5
MURPHY,3-8-2
RIVERA,6-4-1
COOK,3-5-8
ROGERS,2-8-1
MORGAN,7-7-5
PETERSON,7-6-4
COOPER,8-1-9
REED,1-4-5
BAILEY,6-3-9
BELL,5-8-4
GOMEZ,2-1-3
KELLY,5-6-2
HOWARD,7-8-6
WARD,1-9-1
COX,6-9-6
DIAZ,1-3-4
RICHARDSON,7-3-1
WOOD,3-9-3
WATSON,7-4-2
BROOKS,3-5-8
BENNETT,1-7-8
GRAY,1-5-6
JAMES,6-6-3
REYES,1-8-9
CRUZ,3-2-5
HUGHES,8-6-5
PRICE,5-1-6
MYERS,5-3-8
LONG,6-6-3
FOSTER,2-9-2
SANDERS,6-2-8
ROSS,6-2-8
MORALES,3-8-2
POWELL,2-9-2
SULLIVAN,4-7-2
RUSSELL,8-8-7
ORTIZ,6-1-7
JENKINS,5-5-1
GUTIERREZ,4-8-3
PERRY,5-5-1
BUTLER,8-7-6
BARNES,6-8-5
FISHER,5-6-2
HENDERSON,7-5-3
COLEMAN,3-6-9
SIMMONS,6-6-3
PATTERSON,3-8-2
JORDAN,7-1-8
REYNOLDS,2-2-4
HAMILTON,7-4-2
GRAHAM,2-1-3
KIM,9-6-6
GONZALES,3-6-9
ALEXANDER,3-9-3
RAMOS,7-5-3
WALLACE,7-5-3
GRIFFIN,9-6-6
WEST,5-8-4
COLE,2-6-8
HAYES,6-7-4
CHAVEZ,6-5-2
GIBSON,6-6-3
BRYANT,1-7-8
ELLIS,5-7-3
STEVENS,1-4-5
MURRAY,4-2-6
FORD,6-1-7
MARSHALL,2-1-3
OWENS,2-2-4
MCDONALD,7-5-3
HARRISON,7-5-3
RUIZ,3-8-2
KENNEDY,1-5-6
WELLS,5-3-8
ALVAREZ,7-6-4
WOODS,3-1-4
MENDOZA,3-3-6
CASTILLO,7-3-1
OLSON,3-9-3
WEBB,5-9-5
WASHINGTON,7-6-4
TUCKER,8-7-6
FREEMAN,2-6-8
BURNS,3-8-2
HENRY,5-2-7
VASQUEZ,9-3-3
SNYDER,5-8-4
SIMPSON,6-9-6
CRAWFORD,7-9-7
JIMENEZ,1-9-1
PORTER,2-9-2
MASON,7-1-8
SHAW,1-5-6
GORDON,3-7-1
WAGNER,6-8-5
HUNTER,8-6-5
ROMERO,8-4-3
HICKS,9-5-5
DIXON,6-6-3
HUNT,3-6-9
PALMER,6-5-2
ROBERTSON,8-1-9
BLACK,1-1-2
HOLMES,2-7-9
STONE,2-8-1
MEYER,1-2-3
BOYD,6-4-1
MILLS,9-2-2
WARREN,6-1-7
FOX,6-3-9
ROSE,2-1-3
RICE,5-3-8
MORENO,8-9-8
SCHMIDT,9-4-4
PATEL,6-3-9
FERGUSON,5-1-6
NICHOLS,6-2-8
HERRERA,2-8-1
MEDINA,6-4-1
RYAN,1-3-4
FERNANDEZ,2-1-3
WEAVER,2-9-2
DANIELS,6-4-1
STEPHENS,1-6-7
GARDNER,6-7-4
PAYNE,6-1-7
KELLEY,1-6-7
DUNN,3-5-8
PIERCE,1-1-2
ARNOLD,7-3-1
TRAN,1-7-8
SPENCER,1-7-8
PETERS,1-1-2
HAWKINS,1-3-4
GRANT,1-5-6
HANSEN,6-1-7
CASTRO,7-6-4
HOFFMAN,7-2-9
HART,1-1-2
ELLIOTT,2-1-3
CUNNINGHAM,4-1-5
KNIGHT,9-6-6
BRADLEY,6-7-4
CARROLL,7-9-7
HUDSON,9-9-9
DUNCAN,4-8-3
ARMSTRONG,7-1-8
BERRY,5-9-5
ANDREWS,6-6-3
JOHNSTON,3-4-7
RAY,1-7-8
LANE,6-8-5
RILEY,5-1-6
CARPENTER,2-8-1
PERKINS,5-6-2
AGUILAR,5-1-6
SILVA,1-8-9
RICHARDS,1-7-8
WILLIS,9-3-3
MATTHEWS,6-4-1
CHAPMAN,2-9-2
LAWRENCE,2-7-9
GARZA,2-6-8
VARGAS,2-3-5
WATKINS,1-6-7
WHEELER,6-7-4
LARSON,7-9-7
CARLSON,7-3-1
HARPER,6-6-3
GEORGE,7-5-3
GREENE,6-3-9
BURKE,8-4-3
GUZMAN,4-6-1
MORRISON,3-1-4
MUNOZ,9-8-8
JACOBS,7-7-5
OBRIEN,2-7-9
LAWSON,7-5-3
FRANKLIN,1-3-4
LYNCH,7-1-8
BISHOP,6-9-6
CARR,1-3-4
SALAZAR,3-3-6
AUSTIN,4-8-3
MENDEZ,1-3-4
GILBERT,5-5-1
JENSEN,1-3-4
WILLIAMSON,7-3-1
MONTGOMERY,8-2-1
HARVEY,6-1-7
OLIVER,2-7-9
HOWELL,2-1-3
DEAN,6-9-6
HANSON,7-1-8
WEBER,1-7-8
GARRETT,6-2-8
SIMS,9-6-6
BURTON,9-9-9
FULLER,8-3-2
SOTO,3-3-6
MCCOY,6-8-5
WELCH,5-1-6
CHEN,5-7-3
SCHULTZ,3-7-1
WALTERS,6-2-8
REID,5-4-9
FIELDS,5-5-1
WALSH,1-8-9
LITTLE,5-1-6
FOWLER,2-5-7
BOWMAN,7-7-5
DAVIDSON,7-9-7
MAY,1-2-3
DAY,1-2-3
SCHNEIDER,1-3-4
NEWMAN,6-1-7
BREWER,1-7-8
LUCAS,4-7-2
HOLLAND,7-5-3
WONG,6-8-5
BANKS,1-1-2
SANTOS,7-9-7
CURTIS,3-6-9
PEARSON,3-4-7
DELGADO,3-9-3
VALDEZ,6-1-7
PENA,6-3-9
RIOS,6-1-7
DOUGLAS,1-6-7
SANDOVAL,8-8-7
BARRETT,6-6-3
HOPKINS,6-5-2
KELLER,1-8-9
GUERRERO,1-7-8
STANLEY,6-9-6
BATES,6-5-2
ALVARADO,9-2-2
BECK,5-7-3
ORTEGA,3-9-3
WADE,6-9-6
ESTRADA,7-7-5
CONTRERAS,3-2-5
BARNETT,6-2-8
CALDWELL,6-3-9
SANTIAGO,8-6-5
LAMBERT,6-2-8
POWERS,2-4-6
CHAMBERS,6-9-6
NUNEZ,8-9-8
CRAIG,1-1-2
LEONARD,3-3-6
LOWE,2-8-1
RHODES,2-4-6
BYRD,7-6-4
GREGORY,2-3-5
